# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0; the Markdown report is its rendering.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (non-authoritative guide tree, not migrated).
MIIIGModulMolekulargenetischerBefundbericht/Index.page.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
MIIIGModulMolekulargenetischerBefundbericht/BeschreibungModulMolekulargenetischerBefundbericht.page.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match 'beschreibungmodul' -> index (routing-table)
MIIIGModulMolekulargenetischerBefundbericht/KontextimGesamtprojektBezgezuanderenModulen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'kontextimgesamtprojekt' -> implementer-guidance (routing-table)
MIIIGModulMolekulargenetischerBefundbericht/Referenzen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'referenzen' -> implementer-guidance (routing-table)
MIIIGModulMolekulargenetischerBefundbericht/ReleaseNotes.page.md	input/pagecontent/changes.md	semantic home per references/routing-table.tsv	3	semantic match 'releasenotes' -> changes (routing-table)
MIIIGModulMolekulargenetischerBefundbericht/Qualitaetsbericht.page.md	input/pagecontent/qualitaetsbericht.md	cross-cutting narrative - own page (merged prose, menu entry)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/Anwendungsfaelle-Informationsmodell/Index.page.md	input/pagecontent/anwendungsfaelle-informationsmodell.md	cross-cutting narrative - own page (hub, pages:-nested)	4	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/Anwendungsfaelle-Informationsmodell/UML.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match 'uml' -> uml-diagrams (routing-table)
MIIIGModulMolekulargenetischerBefundbericht/Anwendungsfaelle-Informationsmodell/BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	input/pagecontent/guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'szenarien' -> guidance (routing-table)
MIIIGModulMolekulargenetischerBefundbericht/Anwendungsfaelle-Informationsmodell/Datenstzeinkl.Beschreibungen.page.md	input/pagecontent/datenstzeinkl-beschreibungen.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Index.page.md	input/pagecontent/technischeimplementierung.md	cross-cutting narrative - own page (hub, pages:-nested)	4	no artefact anchor; no agreed page; 9 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/CapabilityStatement.page.md	input/pagecontent/capability-statements.md	semantic home per references/routing-table.tsv	3	semantic match 'capabilitystatement' -> capability-statements (routing-table)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Workflow/Index.page.md	input/pagecontent/profiles.md	family overview - h3/h4 section on an artefact index page	2	2 children, 2 anchoring distinct artefacts (StructureDefinition)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Workflow/Anforderung-ServiceRequest.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-anforderung-genetischer-test-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-anforderung-genetischer-test (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Workflow/Befundbericht-DiagnosticReport.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-molekulargenetischer-befundbericht-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-molekulargenetischer-befundbericht (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Index.page.md	input/pagecontent/profiles.md	family overview - h3/h4 section on an artefact index page	2	4 children, 2 anchoring distinct artefacts (StructureDefinition)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Variante-Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-variante-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-variante (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Genotyp---Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-genotyp-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-genotyp (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Haplotype-Observation.page.md	input/pagecontent/profiles.md	subsection of the family overview MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Index.page.md	2	child of family overview MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Index.page.md (no anchor of its own)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Sequence-Phase-Relationship---Observation.page.md	input/pagecontent/profiles.md	subsection of the family overview MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Index.page.md	2	child of family overview MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeBefunde/Index.page.md (no anchor of its own)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeImplikationen/Index.page.md	input/pagecontent/genetischeimplikationen.md	cross-cutting narrative - own page (hub, pages:-nested)	4	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeImplikationen/DiagnostischeImplikation-Observation.page.md	input/pagecontent/diagnostischeimplikation-observation.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeImplikationen/TherapeutischeImplikation-Observation.page.md	input/pagecontent/therapeutischeimplikation-observation.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/GenetischeImplikationen/MolekulareKonsequenz-Observation.page.md	input/pagecontent/molekularekonsequenz-observation.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/MolekulareBiomarker/Index.page.md	input/pagecontent/profiles.md	family overview - h3/h4 section on an artefact index page	2	3 children, 2 anchoring distinct artefacts (StructureDefinition)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/MolekulareBiomarker/Mutationslast-Observation.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-mutationslast-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-mutationslast (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/MolekulareBiomarker/Mikrosatelliteninstabilitt-Observation.page.md	input/pagecontent/profiles.md	subsection of the family overview MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/MolekulareBiomarker/Index.page.md	2	child of family overview MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/MolekulareBiomarker/Index.page.md (no anchor of its own)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/MolekulareBiomarker/Polygener-Risiko-Score---RiskAssessment.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-polygener-risiko-score-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-polygener-risiko-score (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Therapieempfehlungen/Index.page.md	input/pagecontent/therapieempfehlungen.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 2 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Therapieempfehlungen/Medikationsempfehlung-Task.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-medikationsempfehlung-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-medikationsempfehlung (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Therapieempfehlungen/EmpfohleneFolgemanahme-Task.page.md	input/pagecontent/empfohlenefolgemanahme-task.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Methodik/Index.page.md	input/pagecontent/methodik.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 2 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Methodik/GenomicStudy-Procedure.page.md	input/pagecontent/genomicstudy-procedure.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Methodik/GenomicStudyAnalysis-Procedure.page.md	input/pagecontent/genomicstudyanalysis-procedure.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Familienanamnese/Index.page.md	input/pagecontent/familienanamnese.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 2 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Familienanamnese/Familienanamnese---FamilyMemberHistory.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-familienanamnese-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-familienanamnese (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Familienanamnese/Familienanamnese-Extensions.page.md	input/intro-notes/StructureDefinition-mii-pr-molgen-familienanamnese-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-molgen-familienanamnese (1 candidate artefact)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Terminologie/Index.page.md	input/pagecontent/terminologie.md	cross-cutting narrative - own page (hub, pages:-nested)	4	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulMolekulargenetischerBefundbericht/TechnischeImplementierung/Terminologie/MII-ValueSets.page.md	input/pagecontent/mii-valuesets.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
