# fql-rules.tsv -- mapping rules: Simplifier/FQL directive -> HL7 IG Publisher equivalent.
# Tab-separated, 3 columns:  LABEL <TAB> ERE-PATTERN <TAB> RECOMMENDATION
# NORMATIVE label taxonomy for directive detection in this catalog: it drives
# scripts/fql-scan.sh, and the fhir-ig-analysis skill's directive_patterns
# (report-content.json) is a DERIVED set kept in sync by the catalog's
# scripts/check_directive_rules.py (CI-enforced; the only sanctioned divergence
# is render -> render-image + render-resource). EXTENSIBLE BY HAND:
#   - Add a line with a unique LABEL, one ERE pattern (egrep) and a recommendation.
#   - Write curly braces in the pattern as \{ \} (avoids the ERE interval syntax).
#   - Lines starting with # and blank lines are ignored.
#   - egrep (ERE) has NO lookahead: keep patterns non-overlapping, or findings double-count.
page-title	\{\{page-title\}\}	Remove -- the page title comes from the template page set and input/includes/menu.xml.
index-root	\{\{index:root\}\}	Remove -- the table of contents and navigation are generated by the template.
pagelink	\{\{pagelink	[Text](<Type>-<id>.html) -- hint = artefact name -> id (e.g. MII_PR_X -> mii-pr-x).
link	\{\{link[:}]	Artefact link [Text](<Type>-<id>.html).
render	\{\{render:	Image ({{render:file.png|svg|jpg|gif}}) -> copy into input/images/ + <img src="file"> or a Markdown image; otherwise a resource/artefact/bare id ({{render:CapabilityStatement}}, {{render:mii-cs-x}}) -> usually remove (the artefact page is generated) OR {% include <Type>-<id>-<view>.xhtml %}.
tree	\{\{tree	{% include <Type>-<id>-snapshot.xhtml %} (or -dict for the element dictionary / -diff).
xml	\{\{xml[:}]	{% include <Type>-<id>-xml.xhtml %} (also {{xml:Example}}).
json	\{\{json[:}]	{% include <Type>-<id>-json-html.xhtml %} (also {{json:Example}}).
fql-tag	<fql	Element table: {% include <Type>-<id>-dict.xhtml %}; metadata (url/status/version): drop it, the header is generated; otherwise a static table or Liquid over site.data.
fql-at	@```	Simplifier FQL code block: treat as <fql>.
tabs	</?tab	<tabs>/<tab> (rendering/XML/JSON): replace with the matching {% include %} fragments.
# LOCAL ADDITION (pending upstream PR from ThomasDeBe/agent-skills branch fix/img-hotlink-rule) -- re-apply after skill updates until merged:
img-hotlink	(src="|\]\()https?://raw\.githubusercontent\.com/[^)" ]*\.(png|jpe?g|gif|svg)	Branch-pinned raw-repo image hotlink (embedded via src= or offered as a Markdown link): copy the file into input/images/ (flat -- verify basenames are unique) and rewrite to a relative Markdown image ![Alt](file.svg) or link. Absolute raw links keep rendering after migration but break when cleanup retires the old tree, and formally published IG versions would render the moving branch state. Bare URLs in provenance comments are deliberately not matched.
index	\{\{index:current\}\}	Simplifier hub directive listing the current page's children. The IG Publisher has no equivalent: write the child list EXPLICITLY on the hub page (spec 9e: <=250 words, one line per child), or drop the hub when its children are reachable from the menu.
